Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
odd-even,4,simlarge,133960278,0.98,24330,7.504,324237,921493129,1110895327,1.21,386.218055,88,502612395,35898,15263,0.109378099,1.811768553
odd-even,8,simlarge,194823324,1.56,48626,1.118,4351245,1446916489,1456492885,1.01,633.150683,99,587492886,3402269,4566,0.211521149,0.936869917
odd-even,16,simlarge,281892660,1.92,28735,0.288,9988559,2255832923,1916068648,0.85,1007.474985,114,741116565,5865829,7716,0.31578207,0.627546082
histogram,1,simsmall,235663658,0.45,97505,60.296,161711,422296040,923158991,2.19,174.162095,1050,377597034,32856,100339,0.176192045,1
histogram,2,simsmall,235030916,0.45,90264,10.301,876231,434549353,933553875,2.15,182.97456,1052,378068279,19589,29584,0.115916967,1.519984944
histogram,4,simsmall,263722359,0.42,53961,4.876,1106573,688114144,937331918,1.36,284.744745,1059,355328827,46642,64201,0.107551098,1.638217077
histogram,8,simsmall,256526930,0.44,120389,11.185,1076362,675974228,928934877,1.37,280.210621,1065,348275855,60235,63879,0.107091904,1.645241509
histogram,16,simsmall,250558702,0.45,80704,7.192,1122176,672613338,937902038,1.39,277.537642,1082,361366933,44082,37934,0.107227087,1.64316732
histogram,1,simmedium,2324505094,0.47,652513,60.448,1079456,4268757218,9611348812,2.25,1640.272989,9842,3552242562,270581,565353,1.58961606,1
histogram,2,simmedium,2327068787,0.47,428606,6.382,6715743,4361125857,9651253135,2.21,1787.769601,9844,3489427587,179583,341820,1.099431038,1.44585336
histogram,4,simmedium,2336347535,0.47,824134,7.897,10436380,6801617639,9711858177,1.43,2812.993603,9846,3569532087,260166,806249,1.025774002,1.54967474
histogram,8,simmedium,2390270126,0.45,892575,8.892,10037994,6726619859,9775234569,1.45,2779.842474,9857,3590187235,264057,618143,1.034531116,1.53655703
histogram,16,simmedium,2346055566,0.47,718284,7.823,9182006,6865646602,9969699790,1.45,2832.164373,9875,3539948444,316392,635155,1.041576862,1.526162992
histogram,1,simlarge,23938265020,0.45,4949327,69.878,7082846,42511551817,98299778208,2.31,16012.16265,97733,35594453506,1088384,4451633,15.97339892,1
histogram,2,simlarge,23986457665,0.45,5835151,8.511,68559155,43874135881,98230345310,2.24,17930.39857,97732,35597484326,1565298,4740923,11.02085686,1.449379039
histogram,4,simlarge,24061424069,0.46,6554227,6.566,99818734,67996714376,1.01E+11,1.49,27937.75714,97737,35671840466,2625492,6058362,10.24746418,1.558766017
histogram,8,simlarge,24394880954,0.45,7551362,7.409,101916876,68675279621,99764786166,1.45,28283.48342,97748,35606720488,2682132,6676372,10.37651896,1.539379341
histogram,16,simlarge,24439387598,0.45,6892767,7.105,97016576,69102711478,99742355603,1.44,28464.15508,97762,35635698058,2696654,5668063,10.29161906,1.55207833
blackscholes,1,simsmall,207528132,2.84,1711719,11.424,14983462,1069569160,1181495485,1.1,598.729921,68832,332230908,6543167,640053,0.539733171,1
blackscholes,2,simsmall,222924284,2.65,1373993,9.725,14127863,1014579262,1198362194,1.18,543.9527,68816,313450086,6457436,857354,0.535134315,1.008593835
blackscholes,4,simsmall,200456191,2.68,1169610,7.387,15834395,1038165157,1128256321,1.09,578.425261,68812,321621843,5972870,684834,0.793646812,0.680067207
blackscholes,8,simsmall,241416438,2.11,795445,6.115,13008212,1037302739,1139755862,1.1,589.093715,69409,305349059,6831215,914974,0.521833897,1.034300713
